Date,Open,High,Low,Close,Volume
2023-06-19 14:35:00,26567.61,26568.41,26561.55,26563.67,175197.9
2023-06-19 14:36:00,26563.67,26565.24,26545.82,26545.82,204655.17
2023-06-19 14:37:00,26545.82,26551.69,26544.69,26551.69,300677.17
2023-06-19 14:38:00,26551.69,26557.05,26550,26554.35,726306.09
2023-06-19 14:39:00,26554.35,26554.35,26545.03,26545.34,366959.72
2023-06-19 14:40:00,26545.34,26546.7,26533.54,26537.28,401290
2023-06-19 14:41:00,26537.28,26541.98,26537.28,26540.07,153401.17
2023-06-19 14:42:00,26540.07,26543.66,26539.09,26541.88,265211.92
2023-06-19 14:43:00,26541.88,26547.68,26539.61,26540.65,523385.27
2023-06-19 14:44:00,26540.65,26548.89,26540.56,26547.43,376949.28
2023-06-19 14:45:00,26547.43,26548.82,26539.91,26540.85,341468.65
2023-06-19 14:46:00,26540.85,26543.58,26539.94,26540.13,109186.16
2023-06-19 14:47:00,26540.13,26541.64,26520.75,26526.79,592294.9
2023-06-19 14:48:00,26526.79,26535.33,26526.65,26532.54,209330.63
2023-06-19 14:49:00,26532.54,26533.95,26530.95,26532.28,222281
2023-06-19 14:50:00,26532.28,26532.28,26524.66,26527.43,177612.06
2023-06-19 14:51:00,26527.43,26529.07,26525.95,26528.69,85873.18
2023-06-19 14:52:00,26528.69,26528.84,26523.52,26525.33,217284.93
2023-06-19 14:53:00,26525.33,26529.7,26524.67,26529.58,137097.89
2023-06-19 14:54:00,26529.58,26529.62,26523.83,26524.96,177265.88
2023-06-19 14:55:00,26524.96,26529.49,26524.96,26525.73,246234.76
2023-06-19 14:56:00,26525.73,26527.12,26524.88,26527.06,129120.12
2023-06-19 14:57:00,26527.06,26528.99,26523.27,26523.33,262800.29
2023-06-19 14:58:00,26523.33,26526.37,26521.81,26526.15,181448.35
2023-06-19 14:59:00,26526.15,26529.33,26526.15,26527.41,98518.58
2023-06-19 15:00:00,26527.41,26533.2,26527.41,26532.64,476516.4
2023-06-19 15:01:00,26532.64,26532.64,26518.72,26519.15,248148.88
2023-06-19 15:02:00,26519.15,26519.85,26504.5,26504.5,243412.78
2023-06-19 15:03:00,26504.5,26507.38,26502.48,26505.29,99140.7
2023-06-19 15:04:00,26505.29,26505.45,26500.06,26500.99,123811.84
